source_file,K,condition,feature_source,transition_mask_source,transition_supervision,direct_object_tokens,object_type_source,scoring_head_type,n_labeled_samples,n_labeled_states,best_val_f1,best_threshold,precision,recall,f1,macro_f1,exact_match,type_acc,pred_pos_rate,label_pos_rate,avg_prob
experiments/saved_legacy_pddl_pos1_adj_k20_e10_sub1024_20260530_203637/fewshot_structural_results.json,20,adjacent,cached_dinov3,pddl,static_pddl_weak,False,oracle,legacy,20,20,0.4000000059604645,0.05000000074505806,0.25,1.0,0.4000000059604645,0.38202112913131714,0.0,0.7340167760848999,1.0,0.25,0.9760811924934387
experiments/saved_legacy_pddl_conservative_pos1_adj_k20_e10_sub1024_20260530_203637/fewshot_structural_results.json,20,adjacent,cached_dinov3,pddl_conservative,static_pddl_weak,False,oracle,legacy,20,20,0.4000000059604645,0.05000000074505806,0.25,1.0,0.4000000059604645,0.38202112913131714,0.0,0.7302689552307129,1.0,0.25,0.9756907820701599
experiments/legacy_state_diff_nowarm_k20_e30_sub1024/fewshot_structural_results.json,20,adjacent,cached_dinov3,state_diff,oracle_state_diff,False,oracle,legacy,20,20,0.817288339138031,0.05000000074505806,0.7413793206214905,0.9906305074691772,0.8480702042579651,0.8106386661529541,0.0873015895485878,0.9739859104156494,0.3340498208999634,0.25,0.2768091857433319
experiments/legacy_state_diff_nowarm_k20_e30_sub1024/fewshot_structural_results.json,20,full,cached_dinov3,state_diff,oracle_state_diff,False,oracle,legacy,20,20,0.8576067686080933,0.05000000074505806,0.8069484233856201,0.9933862686157227,0.8905138373374939,0.856345534324646,0.3262786567211151,0.9834656119346619,0.3077601492404938,0.25,0.2763606309890747
